Luca,1,55000.0
Alessandro,2,60000.0
Sofia,3,48000.0
Giovanni,4,52000.0
Matteo,5,59000.0
Giulia,6,63000.0
Mario,7,51000.0
Anna,8,58000.0
Francesco,9,54000.0
Lorenzo,10,52000.0
Emma,11,57000.0
Marco,12,60000.0
Alessia,13,48000.0
Davide,14,55000.0
Giovanni,15,60000.0
Giulia,16,52000.0
Luca,17,49000.0
Alessandro,18,58000.0
Sofia,19,51000.0
Mario,20,56000.0
Lorenzo,21,60000.0
Matteo,22,48000.0
Anna,23,54000.0
Francesco,24,52000.0
Giovanni,25,59000.0
Alessia,26,63000.0
Emma,27,51000.0
Giulia,28,59000.0
Marco,29,57000.0
Luca,30,52000.0
Davide,31,60000.0
Sofia,32,48000.0
Mario,33,55000.0
Alessandro,34,60000.0
Lorenzo,35,51000.0
Giulia,36,58000.0
Matteo,37,54000.0
Francesco,38,52000.0
Giovanni,39,63000.0
Anna,40,51000.0
Emma,41,59000.0
Alessia,42,60000.0
Davide,43,48000.0
Marco,44,56000.0
Sofia,45,60000.0
Lorenzo,46,52000.0
Luca,47,49000.0
Giulia,48,58000.0
Matteo,49,54000.0
Mario,50,52000.0
Francesco,51,59000.0
Alessandro,52,63000.0
Giovanni,53,51000.0
Emma,54,57000.0
Anna,55,52000.0
Davide,56,60000.0
Sofia,57,48000.0
Luca,58,55000.0
Alessandro,59,60000.0
Giulia,60,51000.0
Lorenzo,61,58000.0
Matteo,62,54000.0
Francesco,63,52000.0
Giovanni,64,63000.0
Anna,65,51000.0
Emma,66,59000.0
Mario,67,60000.0
Davide,68,48000.0
Sofia,69,55000.0
Luca,70,60000.0
Giulia,71,51000.0
Matteo,72,58000.0
Francesco,73,54000.0
Giovanni,74,52000.0
Alessia,75,63000.0
Emma,76,51000.0
Anna,77,59000.0
Marco,78,60000.0
Davide,79,48000.0
Giulia,80,55000.0
Sofia,81,60000.0
Lorenzo,82,51000.0
Alessandro,83,58000.0
Matteo,84,54000.0
Francesco,85,52000.0
Giovanni,86,63000.0
Anna,87,51000.0
Emma,88,59000.0
Mario,89,60000.0
Davide,90,48000.0
Luca,91,55000.0
Giulia,92,60000.0
Sofia,93,51000.0
Lorenzo,94,58000.0
Matteo,95,54000.0
Francesco,96,52000.0
Giovanni,97,63000.0
Alessia,98,51000.0
Emma,99,59000.0
Alessandro,100,60000.0
